"command","watt","L1-dcache-loads","L1-dcache-stores","L1-icache-loads","L1-icache-load-misses","LLC-loads","LLC-load-misses","LLC-stores","LLC-store-misses","dTLB-loads","dTLB-load-misses","dTLB-stores","dTLB-store-misses","iTLB-load-misses","branch-loads","branch-load-misses","branch-instructions","branch-misses","bus-cycles","cache-misses","cache-references","cpu-cycles","instructions","mem-stores","ref-cycles","topdown-bad-spec","topdown-be-bound","topdown-fe-bound","topdown-retiring","cstate_core/c1-residency/","cstate_core/c6-residency/","cstate_core/c7-residency/","msr/aperf/","msr/mperf/","msr/pperf/","msr/tsc/","uncore_clock/clockticks/","unc_m_clockticks","unc_mc0_wrcas_count_freerun","unc_m_dram_page_hit_wr","unc_m_vc0_requests_wr","unc_m_dram_page_empty_wr","unc_m_cas_count_wr","unc_m_act_count_wr","unc_m_prefetch_rd","unc_m_dram_page_miss_wr","unc_m_pre_count_idle","unc_m_act_count_total","unc_m_pre_count_page_miss","unc_m_act_count_rd","unc_m_dram_page_miss_rd","unc_m_cas_count_rd","unc_m_dram_page_empty_rd","unc_m_vc0_requests_rd","unc_mc0_rdcas_count_freerun","unc_m_dram_page_hit_rd"
"stress-ng --cpu 2 --cpu-method int16 --timeout 10s",10.38,7746470.51640382,5560466.1850382,1141103983.47432,82041.4204103827,24306.492036915,16.3797735996103,50567.736328072,1149.26447856175,7720687.70836503,715.550736991474,5538538.96348502,49.2970219413311,70645.2557181252,172482038.04644,206346.714220073,167525616.612854,200863.47884319,6945941512.72013,51972.7473356886,97561.522335023,5154811011.67872,11347948341.1604,5535176.90281794,6948143623.56017,18476109.0628596,14264485200.4627,188428039.074452,11668994978.415,3551580946.67123,20616688278.0759,17304487716.6841,5157635304.82064,6944745981.37838,5148888256.17561,6953154031.67584,2694249216.02802,2388517066.74031,19989.245885451,15875.4596590264,55998.149207749,31264.1866151435,56011.0898059462,25567.6357456917,11090.6947004602,2566.24350667665,26147.4563834494,41979.3762881349,13038.0318217262,31251.8917186361,2422.58406841144,101391.700738173,32340.885387781,81756.6404682969,41707.3658854614,49711.6119524233
"stress-ng --cpu 2 --cpu-method int8 --timeout 10s",10.375,8864857.74585004,6587033.87072532,1190222598.68894,100072.102108291,23507.5375908953,20.3563713118248,50754.4909420867,1217.80750130839,8618384.67485412,701.304528819259,6439827.78108502,55.3060487827166,82141.1389269977,173978150.842025,208804.814382872,174089886.739991,207963.681693494,6953521041.62981,52178.2128810087,98787.8894205213,5159825273.70371,11990678944.7005,6458704.65351872,6948844142.412,17985115.4311958,13651079302.2744,143991127.924996,12051289591.0915,3521910038.46127,20967970600.902,17356949370.381,5158816592.5844,6946346771.55325,5150189853.25918,6948267851.05011,2692941750.5606,2389416152.52671,18716.3985009932,14377.4035064419,44586.9194269288,24944.581642233,44591.6966715119,20683.179948227,20591.3318863581,2892.68211529696,28201.3125203513,44750.0131998322,10227.5240004526,23622.8924704775,1796.98943161177,78907.5106786825,35101.0132657542,87996.731086226,44423.5226829106,52988.3617753346
"stress-ng --cpu 2 --cpu-method int128float --timeout 10s",11.46,943941536.773173,553838485.975617,1960039296.49207,89711.7199668672,24768.0231065611,3.47638105384375,51215.9328635124,1209.28398087279,929887465.430064,815.021076059865,545601551.915568,52.8254401149912,96774.7111238854,1066179237.95923,72207.630519741,1056012139.68503,71720.0441624602,6944128597.45581,53153.5642340717,100596.893391569,5153401404.7768,11483821042.6002,551842104.730221,6947651559.80571,8366625.66002924,541704570.400153,10399484349.8764,14856636808.9337,3510365529.81124,20996375986.9736,17328622686.2917,5159794457.36282,6947759278.43101,5151296940.62548,6951844469.201,2693064944.45454,2390732200.5713,19732.237060894,15136.6972721825,157837.216080691,91604.4026182911,157850.356050356,82683.0600317677,14992.0072885641,2768.42259135109,27185.4441980695,43417.2916933194,12223.2355122152,27210.5727691603,1946.80424256157,91856.595740539,30426.9991074866,77895.0847677886,39698.2278003114,47626.0670627491
"stress-ng --cpu 2 --cpu-method int128double --timeout 10s",11.46,1607248671.21079,823604620.800197,1680204507.6434,107362.061963497,26111.3004619913,13.1080825612406,51630.3539209884,1149.8370301258,1605112578.60031,848.29679891597,822513503.49809,41.0001846638146,119863.496751725,1074590108.97088,6309497.03457644,1076801010.41848,6247314.68377753,6949740943.05159,53610.8460401902,103929.332943757,5157790807.57747,10515078812.876,822546182.553996,6943005170.61306,1403532311.04249,6561172836.16479,5431956856.61242,12395769842.8889,3511484676.77807,20970003514.9352,17349432740.5925,5155989693.63639,6942321571.92898,5146394964.92018,6954143774.55048,2691641583.42756,2390743664.9667,20378.0693625382,15174.9780155379,55175.7567019394,30547.5901561323,55184.8145050088,24844.558456499,15091.7775442804,2427.08361696631,26233.3475923721,42600.782447432,12560.3036723249,28291.3839273396,2293.04607426838,93520.6929333459,34835.6533605227,89159.3094093535,45391.4806264783,54268.4128675409
"stress-ng --cpu 2 --cpu-method int128longdouble --timeout 10s",11.34,1744741768.83948,764265118.346129,1776458756.79894,90314.3457822904,26126.0813633362,27.7039135736795,51992.5005976575,1089.78656441266,1744058774.69444,835.535729089511,763965151.641212,49.1316447967816,129178.870318311,1537028587.14761,11529008.1226647,1537594843.29373,11602092.3813278,6949847448.55474,53741.5660681601,104280.855055355,5157763607.52821,10013583828.4909,764106907.66158,6948254051.99399,2066210472.14809,11036084262.8183,2207716451.58072,10554475841.9476,3491411352.92447,20994656579.3753,17288118490.5175,5160587616.8989,6948850296.48916,5148171210.84158,6948283467.91637,2695892089.71172,2388144056.84107,19740.3249498857,14620.8139059623,46934.4737374138,25851.5276716564,46951.38465952,21379.8819627391,12111.6793020628,2903.09022870715,29082.2368732068,44822.5551184814,11853.9084195592,25331.2897164239,1959.48729918767,88386.1168379918,32790.4323547314,83441.495598796,42440.2245426133,50602.816272691
"stress-ng --cpu 2 --cpu-method int64float --timeout 10s",11.52,1432904285.1037,772342939.096898,2473030273.40942,79049.099485318,25083.1206174666,26.9048042055382,52083.3326342282,1110.14583256948,1431413888.1542,784.490657189361,771542137.822356,46.0298008264875,80203.254855872,1810781200.69384,94815.5214128417,1809584984.43554,94514.8199210116,6948914094.43258,53317.607989121,102167.733115374,5156973337.50705,12397376388.7533,771140498.139452,6948617609.5176,15653833.7616544,12173379424.6611,1018626001.48972,12673790775.4311,3540133794.8879,20934536747.5413,17253421828.2919,5158107682.17662,6945278833.19391,5151124326.82461,6957713069.66448,2698141856.12,2389499559.73379,21291.4897426376,16632.095507557,45174.9484787403,24907.4710924369,45181.3156735171,20416.2110767914,20165.3055680218,3292.01673900483,30771.2023502285,49798.1302602922,14682.354573086,28342.8070787156,2359.82759803266,95158.0876695638,39849.5036374719,100047.02751867,50982.2092812728,60049.0068991746
"stress-ng --cpu 2 --cpu-method int64double --timeout 10s",11.52,1977499188.9057,986696964.57359,1889436108.08751,103778.682844576,26797.280272222,34.4390849526154,52409.9354205407,1195.54241308128,1978333038.9758,840.40710536993,987125804.038258,58.1063889187341,82023.0489802065,1356170934.0496,8341367.40077963,1351377823.31645,8363499.64492159,6948345708.5822,53453.3742943835,102657.399396035,5156568945.81796,10967171462.3041,986454784.019113,6943796276.10397,1843624998.82811,10817135890.8119,1639830441.08201,11521805580.1215,3565416908.71804,20938310299.1124,17283312612.2757,5160206774.51581,6948180956.99792,5153434489.34695,6945620211.42511,2694827426.87042,2389387038.47945,20716.1124734328,16347.6575315598,46445.1266608933,26482.3477756544,46450.0009933615,22504.8924816406,12304.3092523295,2333.02512970094,26451.4336962561,41424.8295807179,10936.8391137109,24631.875572886,1673.11415761092,82517.4294663112,31152.6804323375,78845.317403844,40078.4752655508,47661.2796221527
"stress-ng --cpu 2 --cpu-method int64longdouble --timeout 10s",11.315,1749425641.31778,762809407.932714,1750223097.6756,74060.1414731853,25990.0799424858,0.694335795975897,52793.6238653713,1355.44266457295,1750877200.82082,833.188205120625,763439800.886803,53.7508727605841,92009.1614667957,1548625050.43644,11569537.502984,1547656742.98675,11719142.4523296,6952148640.22197,54053.6722796243,106923.063366324,5159640776.67172,9784400502.09755,761143474.237685,6940525211.52957,2097411957.07013,11899082845.1514,1737029061.67246,10137397322.5519,3521016349.91295,20939336425.5438,17302637517.8326,5162017098.01222,6950826806.53027,5151879867.36936,6953757129.40089,2688984085.17157,2390227013.76419,18655.3037351695,14327.3274106127,57696.9986481344,30863.0832409579,57698.8896220709,25087.5512144248,17132.9114542969,2475.43006072844,29155.2640373366,44878.8290527043,11154.5915644191,24277.0962496842,1944.63480367491,82229.7600868871,38602.1353231356,98767.5820231332,49729.7701088906,60144.755598145
"stress-ng --cpu 2 --cpu-method int32float --timeout 10s",11.495,1458046480.88887,785890168.510522,2460282178.51782,104813.115519512,24190.6604375246,1.88676883418089,52054.6611879536,1465.52286604429,1460257664.55415,788.524023020479,787073466.774235,42.0863778651414,115272.207765077,1849225699.89919,95549.9758427362,1846167384.25029,95370.6737581908,6956377835.78474,53674.8144935133,102273.854273211,5162595118.20916,12137823927.0638,786169881.854081,6939935625.30805,17199731.2468962,12443935633.0645,1206250404.48059,12199503919.0396,3513488129.77345,20976862217.6864,17226193635.6859,5165344117.50009,6955014353.07886,5157130746.38647,6952042218.85831,2697992243.1994,2390316863.27202,24032.4097733825,18200.735261271,44853.437540304,24382.6321658128,44859.110604804,19939.527860445,12110.6821847492,2739.35770158246,26972.6656427915,42268.6984027485,11053.3922860614,24253.0888306602,2039.8101450835,83867.7968517369,35071.457051717,90485.3744302954,45614.0947017764,55380.2752157805
"stress-ng --cpu 2 --cpu-method int32double --timeout 10s",11.53,1983252346.03405,989557246.172236,1868016853.77919,102821.566241829,24680.5288058228,13.4099837753301,53867.110159796,1434.66959753402,1976395911.79653,837.130294409642,986138674.177415,44.0281746882115,120469.850079234,1356352343.34489,7928827.33945417,1356763645.44901,8091669.38821316,6953673161.95465,54241.0109119344,104702.362576047,5160568544.24159,10836166176.0107,989237902.460793,6943936955.49795,1809506074.21295,11185258413.7511,1623467270.19131,11256019842.8181,3555650426.70393,20942170394.8741,17348492946.01,5161373308.03843,6949809172.63812,5153682596.6935,6948082222.01099,2686524130.38683,2390479790.53495,18133.3148243951,13545.2417821814,50320.9226045215,27114.4462711522,50306.392245418,22415.9650843355,12230.2251819423,2910.16191018959,25954.6506797231,42354.7210039472,11584.7342119503,25843.305021413,1792.01295135714,85809.9007043003,39945.17134139,100995.628487611,51073.9178134785,61051.8505037362
"stress-ng --cpu 2 --cpu-method int32longdouble --timeout 10s",11.33,1749348916.6873,762774918.03544,1757427066.57183,85084.1500792987,26066.9472195539,8.03570902469551,52598.4774682764,1138.49131811612,1751820562.90734,879.203115382405,763848413.970047,45.3801472475445,118888.422639584,1552029867.88161,11549313.0775537,1549681739.872,11596586.5385009,6952699886.10619,54268.9855799688,104169.498818337,5159799638.32943,9802188718.15315,763892259.617598,6949288572.26839,2072784093.87224,11904232176.6028,1713047631.97826,10120783814.7294,3535334696.86807,20981102166.283,17320560181.3295,5152345964.43434,6937459915.98376,5142831826.29255,6951896990.13613,2688870054.83297,2390042784.47313,21691.3038110226,16544.4576331184,44616.7404175261,24157.4699625763,44620.7211494845,20065.078472772,12451.5389784173,1935.59459046339,22601.5426337302,37799.2792124995,12475.8029874323,26577.1235996559,1836.89263612091,92910.0653612686,34574.5112650447,86469.0240782474,43837.3255286299,51833.00224827
"stress-ng --cpu 2 --cpu-method intconversion --timeout 10s",9.68,6161386.92568043,4137530.41425218,531161639.576009,112048.835160867,23483.676722061,8.92353738029501,52066.7584552993,1276.46244704353,6141815.0296176,744.265208077258,4127637.68442849,41.9765577355574,66197.9498067845,135798620.461039,43907.1971174856,136088358.404917,41878.0237901726,6955222730.97448,53301.6182590718,101257.544653045,5161789454.83193,7515355603.42918,4246132.51855224,6944571005.98358,6407666.3437722,18282334134.0923,25508627.1747225,7550931239.91619,3591386242.10127,20944045435.4493,17277411441.4608,5158452851.64895,6945778407.1107,5150271905.07676,6946792062.03362,2635559463.83475,2390087784.78553,19684.6134871919,14911.901365109,97756.6292047344,55991.8408156804,97768.470653101,48774.4282822433,11840.7289938584,2891.55237342987,27881.7753666985,42930.5346655124,11226.6923334184,24648.7603715402,1736.55432476493,82637.3135138324,36462.3286134962,95914.3760960307,48028.5927205419,59212.274967964
"stress-ng --cpu 2 --cpu-method ipv4checksum --timeout 10s",12.21,1829511502.3627,245783981.890126,2668382574.59386,71061.020784451,24265.4031760682,88.0065610803319,51043.5077719327,1124.24165005777,1832487132.96817,730.179182082559,246196998.723469,45.002880201823,71578.6164364582,2098401177.28614,57944281.2513806,2098251031.91263,58178355.0748063,6950948416.04437,54138.5896039229,104558.734715961,5158519463.62228,18203924929.4121,246166406.616765,6940724171.92882,4726708611.54708,222043341.640201,2490092850.40383,18346687813.2919,3544274446.06163,20991863436.616,17364486092.1173,5160210451.51915,6948243105.08775,5152353866.26313,6955961343.91256,2698544161.46398,2389495385.24642,19220.9751549907,14937.6305989799,49148.7929840299,26087.4517754447,49155.4612756918,20523.8074143851,18096.7539891061,3052.79195225267,28547.6413633927,45710.9479942221,10848.4196141484,24901.9252208914,1807.05838628822,81201.5147777062,32466.6591705679,82306.5809693658,41874.4797260732,49934.5137882112
"stress-ng --cpu 2 --cpu-method jmp --timeout 10s",12.37,2288254669.79583,4565464534.27158,3808800818.117,76480.4547080379,22754.4872981297,19.6631089256693,50635.6833597885,1163.69853732825,2289655879.74046,754.793843514785,4568329368.26619,49.8430030839808,69807.6561544482,3614868280.04717,230666.086926166,3616872766.97527,229455.357920866,6945281907.67267,53480.3283688759,101085.093375811,5154380912.30031,19990535989.8374,4568280538.80795,6950006395.49487,21001869.2157012,37936736.7491166,5744676247.98322,20052230647.6249,3517516368.73904,20921962154.1063,17300494453.594,5157941959.01806,6945059797.19138,5149673689.60609,6952290097.40294,2650144609.19432,2390457359.59134,21738.5590414822,16140.8091708613,45471.3003224063,25460.104454853,45473.8866092965,21188.8516557354,16964.6261439234,3327.13454509286,33388.3243502657,52997.1112953629,11294.1506373678,25382.3936370369,2086.70830321664,87136.2752842933,39555.465101539,100588.64454766,50584.6881245856,60447.6688792446
"stress-ng --cpu 2 --cpu-method lfsr32 --timeout 10s",9.57,7043678.88465608,4726381.6471554,640723568.687094,93043.0836015978,25599.0326287384,47.3244086314664,51307.8936020366,1097.98580780805,7057034.31501229,792.590265792215,4736605.79529953,51.2245211859698,81959.3612057036,163204872.017212,116970.372611926,163099017.17503,118178.697830442,6945915316.62288,51893.7215057823,102381.615262944,5152614833.40907,7927887977.47174,4775041.34111347,6940063580.72336,11852921.4695585,17835792899.9338,23059511.3352744,7965417823.62504,3499404328.95983,20927273679.2227,17301826452.8383,5159164416.25408,6946739572.65742,5150465431.81831,6948474714.75564,2687672905.08941,2391008060.35626,19163.4656908688,15062.4906027055,44944.4191641639,24823.3386967358,44954.6672037233,20213.8103011116,12768.7941262888,2398.84502794217,26213.2337427327,40811.5154291219,11768.3838491678,26684.6942174199,2077.25939079755,91556.1180298706,29747.3675363689,80314.8278043891,40785.496135343,50348.4647836385
"stress-ng --cpu 2 --cpu-method ln2 --timeout 10s",9.81,577771500.794505,575288831.426308,295285114.87601,91152.4710932121,24598.9250067736,16.9718945480592,50771.4721659418,1163.61691041781,577320490.97914,741.984539088903,574852351.027499,45.6605870208555,59729.3971927472,147596742.480798,129383.571942305,147795972.116014,129874.545816377,6947603715.97294,53258.6489563115,103287.883617414,5153955191.12711,3446328205.44945,574777370.159647,6947375417.86333,27396512.9846766,22200652617.7068,97183251.7787278,3536979020.64068,3515153383.04518,20926667788.7807,17306178898.2061,5158515636.88312,6945890698.65922,5149270708.50915,6949758895.81747,2694710808.08964,2390429191.60926,18983.7253977295,14875.5099891915,46842.2618677277,25686.7577248061,46860.4752618035,21232.2392622248,10271.8026143262,2422.64662220264,23369.3292666659,38472.3851264771,11586.2331941053,24697.6176811631,1951.22625282774,86188.7638525261,37543.3555143877,99482.0530569124,50103.7633011211,61849.6060464943
"stress-ng --cpu 2 --cpu-method logmap --timeout 10s",9.415,6585072.16447895,4367603.76121752,402566361.543566,81445.0750572989,23639.9042189262,0.793531690841158,52838.7955065788,1196.74498124982,6601314.98091245,786.192673846589,4376832.09605552,52.1616229116178,68991.8653547797,84055281.3003293,78498.0360575143,84075021.227428,78652.2767784447,6953613754.6373,53740.3570420111,101834.374619435,5160561454.5966,3911339091.41018,4360204.01549618,6945081322.57325,11555588.3270426,21898991214.0648,24066172.3836061,3932433784.95239,3548755157.73812,20968997067.4597,17339261758.7064,5154208167.03646,6940054942.97828,5145909134.00779,6953819276.07251,2681788825.93287,2390585100.44829,19189.5867914355,14995.7490387925,52921.7414619907,29761.1323581413,52926.2207119861,23542.340742344,12695.1377664908,2666.01676092458,26009.392718799,41195.1356878593,10850.2203677117,24677.8264515777,1711.90972872684,81929.197839698,32629.6918352577,84527.9886297939,43035.2281855669,52059.2317756788
