"command","watt-median","L1-dcache-loads:u","L1-dcache-loads:u-square","L1-dcache-stores:u","L1-dcache-stores:u-square","L1-icache-loads:u","L1-icache-loads:u-square","L1-icache-load-misses:u","L1-icache-load-misses:u-square","dTLB-loads:u","dTLB-loads:u-square","dTLB-load-misses:u","dTLB-load-misses:u-square","dTLB-stores:u","dTLB-stores:u-square","branch-loads:u","branch-loads:u-square","branch-load-misses:u","branch-load-misses:u-square","branch-instructions:u","branch-instructions:u-square","branch-misses:u","branch-misses:u-square","cache-misses:u","cache-misses:u-square","cache-references:u","cache-references:u-square","cpu-cycles:u-square","instructions:u","instructions:u-square","mem-loads:u","mem-loads:u-square","mem-stores:u","mem-stores:u-square","ref-cycles:u","topdown-bad-spec:u","topdown-bad-spec:u-square","topdown-fe-bound:u","topdown-fe-bound:u-square","topdown-retiring:u","topdown-retiring:u-square"
"stress-ng --cpu 1 --cpu-method euler --timeout 10s",7.09,431910749.473381,"1.8654689551065766e+17",364441071.967488,"1.3281729493681176e+17",364576186.160167,"1.3291579551509274e+17",12409.3222929603,153991279.770562,431618888.983919,"1.862948653277126e+17",51.9453169761467,2698.31595575235,364194812.120455,"1.3263786117545354e+17",660400566.95123,"4.361289088295061e+17",3811.91490036041,14530695.2075897,661005514.5026,"4.3692829020284685e+17",3964.54168401483,15717590.7642911,1051.61393275611,1105891.86356677,2032.56038611993,4131301.723224,"6.573040054594817e+18",4516000619.9564,"2.039426159944659e+19",82594090.8993766,6821783851494485,365127638.020882,"1.3331819204670824e+17",3468511548.37352,1192800.44598665,1422772903945.95,55913153.5844716,3126280743760709,4574774448.62092,"2.0928561255754846e+19"
"stress-ng --cpu 1 --cpu-method explog --timeout 10s",7.02,806712233.751538,"6.507846280843962e+17",166168640.302377,"2.7612017019940744e+16",545857453.346283,"2.979603593736895e+17",12326.410682868,151940400.322722,807426484.998388,"6.519375286768522e+17",50.815072582995,2582.17160161505,166315548.497525,"2.766086167203259e+16",475118480.530375,"2.2573757054149232e+17",2901.86965427493,8420847.4904017,475028394.151239,"2.2565197524990486e+17",2657.97619021979,7064837.42777531,1144.58938197841,1310084.85333772,1987.29745450206,3949351.17267037,"6.617384149882246e+18",3016048278.10603,"9.096547215866349e+18",0,0,166314293.170826,"2.7660444112911456e+16",3463866146.97508,779231.377599849,607201539836.158,169219535.997034,"2.8635251363051492e+16",3097558825.4728,"9.594870677264431e+18"
"stress-ng --cpu 1 --cpu-method factorial --timeout 10s",6.9,261336810.232547,"6.829692838252227e+16",169069784.495999,"2.8584592029523548e+16",292318524.808618,"8.545011994628662e+16",16000.9082085296,256029063.49779,261406614.285322,"6.833341799211512e+16",49.332340256476,2433.67979518072,169115149.451487,"2.8599933773998784e+16",111926860.439176,"1.252762208777078e+16",241028.499359328,58094737503.4096,111699193.135337,"1.2476709747085316e+16",240484.098393485,57832601580.1274,1091.54200850255,1191463.95632578,1946.01962403669,3786992.3771359,"6.615711080200605e+18",1413453828.03224,"1.997851723978993e+18",12663637.4708151,160367713992232,168872021.446587,"2.851775962745654e+16",3455959978.94752,738632408.00257,"5.455778341516751e+17",2159867525.36006,"4.66502772710499e+18",1980294252.61142,"3.921565326925822e+18"
"stress-ng --cpu 1 --cpu-method fibonacci --timeout 10s",7.19,254869076.378549,"6.495824609405465e+16",127484175.412878,"1.625221498070145e+16",2471469131.24333,"6.10815966668866e+18",10907.6593526517,118977032.55349,251340030.850919,"6.317181110814092e+16",46.8562216919418,2195.5055112444,125719598.143049,"1.580541735724973e+16",2518989237.04321,"6.345306776339534e+18",3653.55270835391,13348447.3927202,2516548383.0631,"6.333015764297503e+18",3543.05175024347,12553215.7049033,1101.48955566317,1213279.24123505,1900.0192290295,3610073.07068186,"6.603269523335622e+18",9878239708.74644,"9.757961974345497e+19",0,0,125133818.854171,"1.565847262102848e+16",3463773469.69143,642446.118550787,412737015240.972,2679987581.9783,"7.182333439557896e+18",10127566203.9597,"1.0256759721558668e+20"
"stress-ng --cpu 1 --cpu-method fft --timeout 10s",8.1,1903304973.73749,"3.6225698230538675e+18",839988731.402218,"7.055810688827075e+17",1232507726.57183,"1.519075296059261e+18",14298.2311269929,204439413.360909,1906616000.15708,"3.635184572054982e+18",53.3739989405323,2848.78376290394,841450250.672986,"7.08038524357631e+17",1030449679.8894,"1.0618265427841669e+18",910830.338070279,829611904749.219,1029844406.57209,"1.0605795017478203e+18",911095.763624989,830095490495.402,1097.63092294153,1204793.64299747,2018.14704524012,4072917.49621143,"6.572797490403373e+18",8205376485.20399,"6.7328203263938585e+19",0,0,841349687.318472,"7.078692963508906e+17",3466449797.76119,182677893.89525,"3.3371212918004216e+16",604114609.276485,"3.6495446114128006e+17",8558122774.51974,"7.324146542375345e+19"
"stress-ng --cpu 1 --cpu-method fletcher16 --timeout 10s",6.95,213722902.451401,"4.5677479032251064e+16",1349695.59475758,1821678198508.02,439556573.20076,"1.932099810439951e+17",12105.2083453955,146536069.085433,213665052.361289,"4.565275460055237e+16",49.7713975067034,2477.19200977028,1349313.00695281,1820645590732.03,214834647.066886,"4.615392558035347e+16",406475.27882347,165222152294.618,215108927.848598,"4.627185084017334e+16",407192.933606742,165806085179.265,1009.23344122043,1018552.13887763,1905.30922990631,3630203.26156618,"6.618606664075181e+18",5109013847.57714,"2.610202249473497e+19",0,0,1347546.05718769,1815880376242.09,3448647410.99062,38480995.6413823,1480787025552080,4732564.14878867,22397163422399.8,5144990730.70554,"2.6470929619045925e+19"
"stress-ng --cpu 1 --cpu-method float --timeout 10s",7.17,738364291.913021,"5.451818275722168e+17",188420529.485695,"3.550229593166966e+16",814840685.722722,"6.639653431090758e+17",10743.2816791034,115418101.236559,737125251.343448,"5.4335363616814144e+17",50.2364264552446,2523.6985429932,188104685.796867,"3.5383372818738064e+16",408867542.261622,"1.6717266711505926e+17",7201852.94928566,51866685903134.6,408557564.107219,"1.6691928318922435e+17",7198312.27832647,51815699656305.6,1055.14310089871,1113326.96337415,1945.94517991708,3786702.64324252,"6.611792212466447e+18",2643823313.48769,"6.989801712941028e+18",0,0,188306723.426239,"3.545942208752607e+16",3454054647.8663,1657223945.38907,"2.7463912051709153e+18",1693669566.72552,"2.86851660125221e+18",2652130835.53851,"7.033797968814195e+18"
"stress-ng --cpu 1 --cpu-method floatconversion --timeout 10s",7.33,646031776.991803,"4.1735705688318675e+17",323083079.69488,"1.043826763851282e+17",646213628.445048,"4.175920535881145e+17",10611.5060159556,112604059.926662,646863202.147233,"4.18432002292172e+17",49.3740686134356,2437.79865144425,323498472.173319,"1.0465126149847163e+17",322567129.282082,"1.0404955289328342e+17",7801.01279663984,60855800.6533385,323496474.84973,"1.04649969240202e+17",7321.4039325439,53602955.5434693,1016.76520849056,1033811.48919685,1906.48702459948,3634692.77496618,"6.587392339094781e+18",6140503330.27987,"3.7705781149178175e+19",18402567.2721741,338654482206893,323297354.286767,"1.0452117928882334e+17",3463788254.59833,1326210.81556752,1758835127328.27,1336900.01130542,1787301640228.43,6152712652.23645,"3.785587298099049e+19"
"stress-ng --cpu 1 --cpu-method gamma --timeout 10s",6.74,19560034.325917,382594942831051,99775.5967125473,9955169699.34488,389408665.379664,"1.5163910867277114e+17",10555.5645116253,111419942.159083,19560899.1890314,382628777083449,53.0579400508132,2815.14500243569,99715.6326251272,9943207389.82933,58667068.3681049,3441824910907894,3091.56011838664,9557743.96559882,58584299.7603574,3432120178411410,2909.31133066922,8464092.41876031,1097.59447945162,1204713.64132267,2032.92112381845,4132768.29566727,"6.610485602377501e+18",586229565.603958,"3.436651035882053e+17",17484400.3234284,305704254669903,99873.854015972,9974786716.00369,3466945529.98606,615158.043823428,378419418880.667,3306854073.41279,"1.093528386284676e+19",1858573554.32554,"3.454295656838271e+18"
"stress-ng --cpu 1 --cpu-method gcd --timeout 10s",6.97,122084.0952042,14904526301.8282,110676.36500898,12249257771.601,765262196.576202,"5.856262295086337e+17",9572.48054268547,91632383.7400919,122023.541636855,14889744713.6013,49.571329196661,2457.31667832374,110627.169780968,12238370693.7471,228727028.145049,"5.231605340406604e+16",13298652.3925442,176854155457722,229566183.164363,"5.2700632452653864e+16",13217050.5681051,174690425719847,1058.48971837596,1120400.48390762,1945.56383275392,3785218.62732012,"6.588011398574565e+18",1939807347.99615,"3.762852547339857e+18",0,0,111372.005373592,12403723580.9354,3464842112.89514,2562200060.59217,"6.564869150498518e+18",2079259025.76636,"4.3233180962308726e+18",2630872397.11537,"6.921489569903572e+18"
