"command","watt-median","L1-dcache-loads:u","dTLB-stores:u","dTLB-stores:u-square","dTLB-store-misses:u","dTLB-store-misses:u-square","iTLB-load-misses:u","iTLB-load-misses:u-square","branch-loads:u","branch-loads:u-square","branch-load-misses:u","L1-dcache-load-misses:u","L1-dcache-load-misses:u-square","branch-instructions:u","branch-instructions:u-square","branch-misses:u","cpu-cycles:u","instructions:u","instructions:u-square","mem-stores:u","mem-stores:u-square","ref-cycles:u","slots:u","topdown-br-mispredict:u"
"stress-ng --cpu 1 --cpu-method phi --timeout 10s",9.47,306651807.028694,178707931.581023,"3.19365248099676e+16",62.2073557807922,3869.75511323806,591.708054234954,350118.421446515,3506387670.04257,"1.2294754492626563e+19",2933.14586044113,3995.45617312614,15963670.0313718,3499829905.20134,"1.2248809365341622e+19",4447.64092192313,2987244404.69622,15684087925.2041,"2.4599061404553304e+20",182120662.352871,"3.3167935655848444e+16",3460268840.54998,17215175943.9887,216101.067446897
"stress-ng --cpu 1 --cpu-method pi --timeout 10s",8.63,463708539.831891,310382512.617955,"9.6337304139035e+16",61.4175550574651,3772.11606923676,391.249636278638,153076.277888167,158377491.117598,"2.508342969270483e+16",3931.21696948654,7315.84437914374,53521578.9798491,158244709.435259,"2.504138806424955e+16",3352.64965469158,2866511367.86239,2553912608.45765,"6.522469611638959e+18",311036461.332885,"9.674368027848328e+16",3471312439.89446,17195084936.2811,809301138.979937
"stress-ng --cpu 1 --cpu-method prime --timeout 10s",8.455,100098.161511794,60588.9293231192,3671018356.52193,64.5140225787363,4162.0591092897,117.053417180777,13701.502473697,763783524.269276,"5.833652719451958e+17",14123052.6455368,4321.18572677949,18672646.0853228,915846145.133368,"8.387741615556502e+17",18248268.6484891,2873261089.57957,3964352749.57798,"1.571609272308649e+19",59791.6121345358,3575036881.64677,3458996651.49418,17234712049.9377,2568244157.98316
"stress-ng --cpu 1 --cpu-method queens --timeout 10s",10.09,1054401114.49343,1050788790.25608,"1.1041570817278362e+18",64.2498331417232,4128.04105873927,270.52926441246,73186.0829035467,663401363.473472,"4.401013690584617e+17",87081327.5229665,3967.1976906608,15738657.5167844,663312761.928166,"4.3998382013677184e+17",86910831.5458152,3470242654.27879,6053375195.35433,"3.6643351255731073e+19",1048921329.489,"1.1002359554569713e+18",3456208856.54569,19276515834.3306,9675307512.34053
"stress-ng --cpu 1 --cpu-method rand --timeout 10s",8.005,402976.803264035,335043.359507163,112254052749.846,61.9084233796356,3832.65288535221,2821.43810599316,7960512.98595027,77039151.1169269,5935030804816698,61013.472634393,5280.11373949337,27879601.1019867,63925294.1930683,4086443237670332,33087.480262741,2866719701.24231,6234840976.11007,"3.887324199738117e+19",334839.669553501,112117604306.698,3470679939.22368,17193855939.8233,209566.596241398
"stress-ng --cpu 1 --cpu-method rgb --timeout 10s",7.745,1519720.09419605,68497590.0866592,4691919847679992,59.1627828660008,3500.23487644956,592.981193795361,351626.696194972,9079003.28271899,82428300607622.2,3578.20096756459,4545.58263084396,20662321.4538303,9075644.37828251,82367320881050.9,3489.91454144041,3467485848.54715,2400643760.72431,"5.763090465904558e+18",82447741.626073,6797630099239691,3461193511.49294,17241285447.0943,208659.393894879
"stress-ng --cpu 1 --cpu-method sieve --timeout 10s",8.935,1492408018.16358,812718455.62814,"6.605112881185889e+17",66.6835135672258,4446.69098167039,119.223132918681,14214.1554229455,867159977.695891,"7.519664269175382e+17",378300.320983769,14951.4061835072,223544546.864217,868939597.108185,"7.550560234225349e+17",374943.589430957,2860143040.5209,11223965584.0304,"1.2597740343149886e+20",813420689.027431,"6.616532173378606e+17",3469458879.35835,18880261669.8185,74242408.3637644
"stress-ng --cpu 1 --cpu-method stats --timeout 10s",9.555,2107593406.33256,1611224672.73286,"2.596044946023112e+18",61.7590923753042,3814.18549102136,113.593097423209,12903.3917821987,1418996157.27043,"2.013550094348247e+18",1601863.44606608,18519.1909912966,342960434.972121,1413312455.55116,"1.99745209701605e+18",1595842.58294984,2868566376.91444,11283919578.5347,"1.2732684105483873e+20",1611676110.06394,"2.597499883750833e+18",3462806764.91603,20771220562.5597,163103499.648433
"stress-ng --cpu 1 --cpu-method sqrt --timeout 10s",8.71,818473747.521552,820402430.101544,"6.730601473165188e+17",62.513069698096,3907.88388307901,232.846174101338,54217.3407936306,1228143851.01208,"1.508337318778782e+18",14910.2358197123,4348.01097627966,18905199.4498484,1230171011.98236,"1.5133207187217034e+18",14856.1194629777,2874077090.55046,7788638268.43551,"6.066288607653809e+19",819930481.491477,"6.722859944788453e+17",3466665519.57172,17229616131.6409,213956.709177135
"stress-ng --cpu 1 --cpu-method trig --timeout 10s",8.685,808140492.283359,265430114.12023,"7.045314548187831e+16",56.2528967808078,3164.38839623222,14192.0168750242,201413342.980972,286677404.752085,"8.218393439539075e+16",236034.227576705,9777.46121660556,95598747.8422259,286409546.67919,"8.20304284289791e+16",223181.240822401,2870097866.6694,3073255383.70783,"9.44489865348916e+18",320800636.945825,"1.02913048664847e+17",3464114045.9211,17233880747.4989,608403871.571199
"stress-ng --cpu 1 --cpu-method union --timeout 10s",7.68,338831050.177334,212035933.67153,"4.495923716795747e+16",60.2755029324222,3633.13625375644,230.783232929146,53260.9006012285,25760974.0364245,663627783305337,27629.2556895231,4248.71605052028,18051588.0779487,21400970.89637,458001555307276,23194.4231870096,2865765249.17923,2667422065.29545,"7.115140474425045e+18",211866866.498566,"4.488756911992119e+16",3469125289.06883,17176132138.5721,210152.299961201
"stress-ng --cpu 1 --cpu-method zeta --timeout 10s",10.57,1853918030.86008,693363812.688011,"4.807533767452553e+17",69.3099922338527,4803.87502345672,78.0096931797191,6085.51222999391,1531931888.28698,"2.346815310350512e+18",19892.6001856928,8470.86370498124,71755531.9083685,1533996452.87699,"2.3531451174391875e+18",19673.2958559433,2863254516.96932,8461729887.71577,"7.160087269266234e+19",692937251.525626,"4.801620345518886e+17",3467722137.29471,20740027503.7734,209365.625817633
