\,watt-median,L1-dcache-loads:u,L1-dcache-loads:u-square,L1-dcache-stores:u,L1-dcache-stores:u-square,L1-icache-loads:u,L1-icache-loads:u-square,L1-icache-load-misses:u,L1-icache-load-misses:u-square,LLC-loads:u,LLC-loads:u-square,LLC-load-misses:u,LLC-load-misses:u-square,LLC-stores:u,LLC-stores:u-square,dTLB-loads:u,dTLB-loads:u-square,dTLB-load-misses:u,dTLB-load-misses:u-square,dTLB-stores:u,dTLB-stores:u-square,dTLB-store-misses:u,dTLB-store-misses:u-square,iTLB-load-misses:u,iTLB-load-misses:u-square,branch-loads:u,branch-loads:u-square,branch-load-misses:u,branch-load-misses:u-square,branch-instructions:u,branch-instructions:u-square,branch-misses:u,branch-misses:u-square,bus-cycles:u,bus-cycles:u-square,cache-misses:u,cache-misses:u-square,cache-references:u,cache-references:u-square,cpu-cycles:u,cpu-cycles:u-square,instructions:u,instructions:u-square,mem-loads:u,mem-loads:u-square,mem-stores:u,mem-stores:u-square,ref-cycles:u,ref-cycles:u-square,topdown-bad-spec:u,topdown-bad-spec:u-square,topdown-be-bound:u,topdown-be-bound:u-square,topdown-fe-bound:u,topdown-fe-bound:u-square,topdown-retiring:u,topdown-retiring:u-square
stress-ng --cpu 1 --cpu-method fibonacci --timeout 10s,7.19,254869076.378549,6.495824609405465e+16,127484175.412878,1.625221498070145e+16,2471469131.24333,6.10815966668866e+18,10907.6593526517,118977032.55349012,114.135243764477,13026.853869176584,0.596111711822339,0.3553491729717594,10.2190313699874,104.42860214078655,251340030.850919,6.317181110814092e+16,46.8562216919418,2195.505511244397,125719598.143049,1.580541735724973e+16,7.34577722017629,53.960442968460896,5929.28231061326,35156388.71895132,2518989237.04321,6.345306776339534e+18,3653.55270835391,13348447.39272019,2516548383.0631,6.333015764297503e+18,3543.05175024347,12553215.704903316,3462088244.44284,1.1986055012309307e+19,1101.48955566317,1213279.2412350476,1900.0192290295,3610073.070681855,2569682767.06204,6.603269523335622e+18,9878239708.74644,9.757961974345497e+19,0.0,0.0,125133818.854171,1.565847262102848e+16,3463773469.69143,1.1997726649338208e+19,642446.118550787,412737015240.97186,78111911.7774971,6101470761535490.0,2679987581.9783,7.182333439557896e+18,10127566203.9597,1.0256759721558668e+20
stress-ng --cpu 1 --cpu-method fft --timeout 10s,8.1,1903304973.73749,3.6225698230538675e+18,839988731.402218,7.055810688827075e+17,1232507726.57183,1.519075296059261e+18,14298.2311269929,204439413.36090866,134.414495244488,18067.256531830484,0.0,0.0,47.8095836525927,2285.756289034259,1906616000.15708,3.635184572054982e+18,53.3739989405323,2848.7837629039436,841450250.672986,7.08038524357631e+17,9.24363219810138,85.44473621377657,4632.63206663069,21461279.86477494,1030449679.8894,1.0618265427841669e+18,910830.338070279,829611904749.2188,1029844406.57209,1.0605795017478203e+18,911095.763624989,830095490495.4017,3454130234.00839,1.1931015673490854e+19,1097.63092294153,1204793.6429974746,2018.14704524012,4072917.496211427,2563746767.99472,6.572797490403373e+18,8205376485.20399,6.7328203263938585e+19,0.0,0.0,841349687.318472,7.078692963508906e+17,3466449797.76119,1.2016274200398594e+19,182677893.89525,3.3371212918004216e+16,3532759145.16501,1.2480387177747012e+19,604114609.276485,3.6495446114128006e+17,8558122774.51974,7.324146542375345e+19
stress-ng --cpu 1 --cpu-method fletcher16 --timeout 10s,6.95,213722902.451401,4.5677479032251064e+16,1349695.59475758,1821678198508.0176,439556573.20076,1.932099810439951e+17,12105.2083453955,146536069.08543286,89.1959820090624,7955.923206560984,0.0,0.0,4.7545803384457,22.606034194734423,213665052.361289,4.565275460055237e+16,49.7713975067034,2477.1920097702814,1349313.00695281,1820645590732.0342,9.02286156916101,81.4120308962427,4499.3167035958,20243850.79925618,214834647.066886,4.615392558035347e+16,406475.27882347,165222152294.61768,215108927.848598,4.627185084017334e+16,407192.933606742,165806085179.26462,3466340023.63615,1.2015513159461863e+19,1009.23344122043,1018552.1388776312,1905.30922990631,3630203.261566176,2572665284.11202,6.618606664075181e+18,5109013847.57714,2.610202249473497e+19,0.0,0.0,1347546.05718769,1815880376242.0889,3448647410.99062,1.1893168965332308e+19,38480995.6413823,1480787025552083.5,7695875713.61904,5.922650299947136e+19,4732564.14878867,22397163422399.83,5144990730.70554,2.6470929619045925e+19
stress-ng --cpu 1 --cpu-method float --timeout 10s,7.17,738364291.913021,5.451818275722168e+17,188420529.485695,3.550229593166966e+16,814840685.722722,6.639653431090758e+17,10743.2816791034,115418101.23655878,102.643065897292,10535.598976795829,0.0,0.0,29.1677271737752,850.7563084837843,737125251.343448,5.4335363616814144e+17,50.2364264552446,2523.698542993199,188104685.796867,3.5383372818738064e+16,7.13291776895684,50.87851589870023,9608.25643888944,92318591.7954604,408867542.261622,1.6717266711505926e+17,7201852.94928566,51866685903134.555,408557564.107219,1.6691928318922435e+17,7198312.27832647,51815699656305.625,3464534598.9808,1.2002999987535053e+19,1055.14310089871,1113326.963374145,1945.94517991708,3786702.6432425166,2571340547.74284,6.611792212466447e+18,2643823313.48769,6.989801712941028e+18,0.0,0.0,188306723.426239,3.545942208752607e+16,3454054647.8663,1.193049351044679e+19,1657223945.38907,2.7463912051709153e+18,6836927202.98139,4.674357357886693e+19,1693669566.72552,2.86851660125221e+18,2652130835.53851,7.033797968814195e+18
stress-ng --cpu 1 --cpu-method floatconversion --timeout 10s,7.33,646031776.991803,4.1735705688318675e+17,323083079.69488,1.043826763851282e+17,646213628.445048,4.175920535881145e+17,10611.5060159556,112604059.92666188,173.093521270582,29961.36710584942,0.0,0.0,10.9112980833742,119.0564258642455,646863202.147233,4.18432002292172e+17,49.3740686134356,2437.798651444246,323498472.173319,1.0465126149847163e+17,7.54982670037242,56.9998832056563,5535.21599063889,30638616.063024465,322567129.282082,1.0404955289328342e+17,7801.01279663984,60855800.653338544,323496474.84973,1.04649969240202e+17,7321.4039325439,53602955.54346928,3457863440.87992,1.195681957577392e+19,1016.76520849056,1033811.489196852,1906.48702459948,3634692.7749661785,2566591580.11063,6.587392339094781e+18,6140503330.27987,3.7705781149178175e+19,18402567.2721741,338654482206893.4,323297354.286767,1.0452117928882334e+17,3463788254.59833,1.1997829072693346e+19,1326210.81556752,1758835127328.2666,6726288676.93652,4.524295936548444e+19,1336900.01130542,1787301640228.4321,6152712652.23645,3.785587298099049e+19
stress-ng --cpu 1 --cpu-method gamma --timeout 10s,6.74,19560034.325917,382594942831051.4,99775.5967125473,9955169699.34488,389408665.379664,1.5163910867277114e+17,10555.5645116253,111419942.15908346,184.771506800991,34140.509725508666,0.0,0.0,10.9036105625586,118.88872329993946,19560899.1890314,382628777083449.25,53.0579400508132,2815.1450024356877,99715.6326251272,9943207389.82933,7.73466965467523,59.82511466695384,4819.82913425707,23230752.883433256,58667068.3681049,3441824910907894.0,3091.56011838664,9557743.965598816,58584299.7603574,3432120178411412.5,2909.31133066922,8464092.418760307,3463918224.37623,1.1998729465165773e+19,1097.59447945162,1204713.6413226726,2032.92112381845,4132768.2956672697,2571086463.41921,6.610485602377501e+18,586229565.603958,3.436651035882053e+17,17484400.3234284,305704254669903.1,99873.854015972,9974786716.003687,3466945529.98606,1.2019711307890323e+19,615158.043823428,378419418880.66656,7719737277.94279,5.959434364045956e+19,3306854073.41279,1.093528386284676e+19,1858573554.32554,3.454295656838271e+18
stress-ng --cpu 1 --cpu-method gcd --timeout 10s,6.97,122084.0952042,14904526301.828169,110676.36500898,12249257771.600973,765262196.576202,5.856262295086337e+17,9572.48054268547,91632383.74009189,30.7112296762404,943.1796282267891,0.0993006441029053,0.009860617919251862,51.0240025318937,2603.448834374695,122023.541636855,14889744713.601288,49.571329196661,2457.3166783237352,110627.169780968,12238370693.74712,7.84774941030548,61.587170806950006,4525.29479869066,20478293.015056744,228727028.145049,5.231605340406604e+16,13298652.3925442,176854155457721.6,229566183.164363,5.2700632452653864e+16,13217050.5681051,174690425719847.34,3458106155.32504,1.1958498181496928e+19,1058.48971837596,1120400.483907619,1945.56383275392,3785218.6273201234,2566712176.80802,6.588011398574565e+18,1939807347.99615,3.762852547339857e+18,0.0,0.0,111372.005373592,12403723580.935404,3464842112.89514,1.200513086729166e+19,2562200060.59217,6.564869150498518e+18,5577679519.19142,3.1110508818807427e+19,2079259025.76636,4.3233180962308726e+18,2630872397.11537,6.921489569903572e+18
stress-ng --cpu 1 --cpu-method gray --timeout 10s,7.02,300677.72580509,90407094795.32088,183195.083309118,33560438548.63468,413557961.917357,1.710301878652381e+17,12175.9213379793,148253060.42865962,151.642076090696,22995.319241096437,0.19858762539818,0.039437044961287866,40.1971581929601,1615.8115267898595,300388.170894004,90233053213.04535,48.1815219705207,2321.4590593957687,182832.289804188,33427646195.04259,6.85412378027943,46.97901279539198,6106.7249532203,37292089.65428348,139000022.130593,1.9321006152305344e+16,19554.4569493809,382376786.58519095,139251466.790743,1.93909710033734e+16,19682.4746674202,387399809.0336379,3462458383.20601,1.1988618055433576e+19,1050.36491138354,1103266.4470657518,1978.1766145481,3913182.718344982,2569827679.80551,6.604014303894571e+18,3479590487.41601,1.2107549960115984e+19,0.0,0.0,183857.897036847,33803726302.81183,3466800100.23561,1.2018702934993635e+19,2197830.79385072,4830460198398.485,6610358850.10066,4.369684412710412e+19,2349709.71439394,5521135741917.25,6271954661.23068,3.933741527253326e+19
stress-ng --cpu 1 --cpu-method hamming --timeout 10s,7.24,206436093.374973,4.261586064792057e+16,206433456.166029,4.2614771824651816e+16,1134985224.81626,1.2881914605512164e+18,10225.9052955133,104569139.11280693,106.374918730958,11315.623335017919,0.0,0.0,49.6329030463096,2463.425064804369,206528398.378869,4.265397933694082e+16,59.4092080655987,3529.4540029815976,206525758.330996,4.265288885419297e+16,11.9029631395305,141.6805315010218,4563.40798585748,20824692.445387818,465466233.349544,2.1665881438861213e+17,3373.39083471736,11379765.723755088,465252265.499529,2.1645967055244422e+17,3503.26483686013,12272864.517180633,3466982357.25349,1.2019966665506966e+19,1047.57113722886,1097405.287554967,1813.5382428116,3288920.9581401856,2573465787.44722,6.622726159161339e+18,11567991402.51,1.3381842508854528e+20,0.0,0.0,206669440.976528,4.2712257833550584e+16,3462820799.77516,1.1991127891355478e+19,681577.913542923,464548452229.5243,1070823658.65865,1.1466633079430971e+18,208609281.00535,4.351783212156908e+16,11596490327.8341,1.3447858792354985e+20
stress-ng --cpu 1 --cpu-method hanoi --timeout 10s,7.97,1954353275.77712,3.81949672654076e+18,1953890539.50116,3.8176882403521336e+18,1152721458.60351,1.3287667611250035e+18,11271.0827287492,127037305.87830849,115.840157356901,13418.942056471586,0.0993136324742743,0.009863197595235232,2.36758311909459,5.605449825821667,1955842852.41975,3.825321263361424e+18,50.3242947588577,2532.534642976392,1955379790.22477,3.8235101240194657e+18,7.24516725901087,52.49244861104308,7234.4499954505,52337266.73667374,1803053403.6603,3.2510015764509926e+18,120322.493946812,14477502549.58061,1803018768.23348,3.2508766786021755e+18,120251.079471362,14460322114.027819,3466509040.72512,1.2016684929428992e+19,1070.93416006122,1146899.9751860306,1890.97398238293,3575782.6020491575,2572984838.71565,6.6202509802606e+18,8474348271.19737,7.181457862154585e+19,0.0,0.0,1960876349.10997,3.845036056498845e+18,3465390085.45983,1.2008928444403286e+19,12030258.5174001,144727119995477.7,562514697.861836,3.164227853105926e+17,3239998590.15479,1.0497590864205027e+19,9069815458.43603,8.226155245008516e+19
