"\","watt-median","L1-dcache-loads:u","L1-dcache-stores:u","L1-icache-loads:u","L1-icache-load-misses:u","LLC-loads:u","LLC-load-misses:u","LLC-stores:u","dTLB-loads:u","dTLB-load-misses:u","dTLB-stores:u","dTLB-store-misses:u","iTLB-load-misses:u","branch-loads:u","branch-load-misses:u","branch-instructions:u","branch-misses:u","bus-cycles:u","cache-misses:u","cache-references:u","cpu-cycles:u","instructions:u","mem-loads:u","mem-stores:u","ref-cycles:u","topdown-bad-spec:u","topdown-be-bound:u","topdown-fe-bound:u","topdown-retiring:u"
"stress-ng --cpu 1 --cpu-method logmap --timeout 10s",6.65,328847.210877524,233278.688368667,199038854.178214,9872.91824195493,113.176187102481,0,43.8621578766452,329371.303723009,50.1398221865017,233640.217430004,6.94925501444092,4570.32529767979,39903337.7864472,22208.4602420967,39940284.6153293,21963.8358752426,3455395125.21951,1047.57068021162,2046.02079665461,2564753638.98273,1944656307.11063,0,233421.087740463,3459885351.99116,3571834.22245013,10928628439.0681,1878787.15981184,1951522993.71255
"stress-ng --cpu 1 --cpu-method longdouble --timeout 10s",7.14,809863036.472758,345482863.467971,734259324.81596,14265.6668358213,205.98913136727,0,10.7979459748572,808857694.572873,51.4727984832892,345059812.754216,7.6358515265087,4720.70808002482,622919842.159776,3625259.28159768,624353721.700592,3631692.41128214,3459857207.6726,1043.98325974509,2001.93477368354,2567863526.12776,3983167887.82515,8105324.17612141,345555313.849473,3464153169.04106,809215878.29856,6966556939.05753,900581865.597563,4201488810.08108
"stress-ng --cpu 1 --cpu-method loop --timeout 10s",7.79,4198191824.86849,2099401914.53807,1052055424.48666,11364.1861466982,96.3092970079111,0,8.23570521009311,4380730955.92816,49.8430009381541,2190682312.10386,7.13340592473671,5649.03886005725,812681618.369607,52248.9254728549,1015790414.24977,64570.8280772709,3460135040.69643,1036.43213397412,1934.96011185779,2568223130.41456,9903473218.40575,0,1980775105.37985,3463013312.9067,9790348.57768782,2591720696.32414,3753451.91598335,7780448695.18041
"stress-ng --cpu 1 --cpu-method matrixprod --timeout 10s",8.34,1632840149.85935,37781112.6892116,1039840401.54989,10417.401006328,99.267085468171,0,42.4698255920808,1638084632.51687,63.7425612437529,37902052.1742616,20.6563256422026,6398.45882916288,818914042.699452,6393253.08422304,821668659.400774,6414856.24799918,3461837072.70364,1022.64142426667,2046.57913963154,2569536125.60149,6752263790.63115,60276196.6545631,37869964.8448742,3460791192.27977,1167156858.11513,4904135881.3604,16448977.2752038,6792696749.95396
"stress-ng --cpu 1 --cpu-method nsqrt --timeout 10s",6.92,4112389.32701221,3823852.11200905,314318820.623391,10380.8742211948,108.191575075478,0,1.9764380527165,4107170.35518039,51.0249389203767,3818981.12625405,7.24596274984632,1521.44131102894,577400621.398096,174118.738484508,578058584.407011,252461.930789973,3462987656.2235,1143.0772614397,2060.01342432353,2570417635.15316,3092825045.43096,3446877.25321787,3820456.99706754,3462697688.45676,35356436.2835979,9406738349.12789,100380459.327543,3289479899.44581
"stress-ng --cpu 1 --cpu-method omega --timeout 10s",6.84,48538485.1049056,23078527.657399,572204434.226819,11248.9643773753,76.3817678721002,0,39.1060118675461,48600014.3916658,50.0629484810439,23107731.7247981,7.35001643030713,4551.34362144951,42822854.892282,23351.7488079008,42897209.3876854,23002.0979109509,3466607026.56622,1034.2493237415,1926.84889262207,2572844057.14265,338706620.068391,11381231.6210495,23113959.2042612,3467067592.42365,1004044965.70871,5196138603.26657,5344752793.68299,1314678395.35081
"stress-ng --cpu 1 --cpu-method parity --timeout 10s",7.15,454059.705200296,306669.659562624,2195819701.15798,9848.22723368429,128.369657791937,0,12.2007986484509,452532.836929238,50.856332325815,305512.545051015,7.64789758456043,4502.76282936988,1627876851.54501,14964967.2267548,1632718252.12335,14997405.9598338,3454801684.82569,1085.65402255106,1929.20618361281,2563949870.37869,7779784795.2009,0,306952.140905688,3465467577.52847,2783823313.14607,1323767915.53475,948731955.497407,7708368216.73029
"stress-ng --cpu 1 --cpu-method phi --timeout 10s",7.26,250671472.465627,146266961.477269,1670685916.48417,11651.567177094,88.054292401519,0,40.6840996902804,249298031.826778,49.7299530992596,145465582.180463,7.54336987046843,6138.32572696969,2853186291.30146,3469.37306189407,2864462626.23065,3444.56095403937,3451554615.69742,1144.2892597546,2068.3224596265,2561855757.07433,12600280196.8861,0,146364660.696827,3466278316.94279,758326.488914009,64677091.8501444,106535404.015247,12709507839.2166
"stress-ng --cpu 1 --cpu-method pi --timeout 10s",6.86,291629531.449971,195129219.27367,248417101.558256,13154.4802072558,233.881230022596,0.496357069441922,13.5823398060556,291039904.433363,50.6361480667424,194734875.927953,7.53009715589733,12707.0018415347,120450702.431012,3937.86151013126,119261065.613983,3999.26517125911,3460771043.36699,1065.07335123516,2004.07787867419,2568828920.66596,1603302441.3215,13175099.7977632,195306265.14775,3462662572.01285,748880098.765033,8622680490.41094,1490729336.68933,2020319227.17523
"stress-ng --cpu 1 --cpu-method prime --timeout 10s",6.96,101108.703585005,100886.51358467,831003306.259337,10753.9425213056,65.7825130020786,0,14.2960413057478,101535.439722015,50.5564141786493,101258.928649398,7.25013123222967,1423.99828934174,531141234.355938,11105476.668143,530362962.685175,11048534.0949005,3467991100.38781,1073.0598371746,1967.80276837609,2574143347.79647,2288937047.30769,0,100975.181361281,3455685726.85821,1758879407.0556,6820007837.50068,1156560815.55026,3145602693.99646
"stress-ng --cpu 1 --cpu-method psi --timeout 10s",7.01,28040945.2536657,15340194.1312309,254229193.242785,10850.4583572367,186.045717581812,1.09279386726863,-3.98833303650824,28085179.4114581,49.6305693413146,15364361.7357609,7.14607260817775,5213.35751085273,494210838.431765,3759.63310932521,493468555.135809,3721.12361106192,3466063743.96323,980.15323550914,2055.80223310237,2572496074.54838,3844341997.5881,2545578.06015152,15371671.8507046,3464555797.1914,933290.083089695,8091652193.08732,236548902.513858,4554463711.65382
"stress-ng --cpu 1 --cpu-method queens --timeout 10s",7.53,813792723.887039,813791584.791016,1097438293.24372,11091.3079093858,110.083444848048,0,14.5834750665846,812323822.766386,49.6634028951556,812322674.016312,7.03697923489306,4543.19627350604,511744078.522986,60375935.2618782,512665680.005289,60499575.5919049,3458866027.04651,1092.47767481415,1907.60492156235,2567518299.28608,4678837855.67507,0,810781046.476384,3467671936.16055,5808560469.27034,158219119.636062,1927224628.24431,4965705615.36191
"stress-ng --cpu 1 --cpu-method rand --timeout 10s",6.92,356293.328200907,331576.714363087,479814634.39255,10260.4950596095,183.463822869355,0,-3.98850496143274,357002.774108725,48.4846304617147,332221.098560089,7.05364305816861,2059.30194784497,53485796.4011819,28255.5828991617,53623798.7519504,28633.2771014617,3456927140.81425,1010.18578125168,1782.90681071212,2565862519.60949,5214984049.27174,0,332459.494577867,3463153835.45332,2393654.53601148,7653330834.18424,3358602.5131334,5226568825.45831
"stress-ng --cpu 1 --cpu-method rand48 --timeout 10s",7.31,1558487956.98598,833673560.828743,833831600.995392,12260.1729169435,34.2758778742089,0,37.3173545965196,1556799339.86795,50.8947094009142,832770277.103963,7.43996891618107,9559.90075788321,760334777.750932,5052.17805406967,766943410.564397,5101.62733176905,3461571492.71463,1045.45371676178,1931.59149551128,2569281416.8268,4911096417.06887,0,830589500.963,3453392581.28201,1123056.21986846,7397653066.36454,256267641.614677,5151445468.54051
"stress-ng --cpu 1 --cpu-method rgb --timeout 10s",6.72,1198315.17285387,52864038.1134607,170424425.481229,12229.9538104859,165.73972033017,0,4.33885281272474,1199124.58277777,50.8963631402245,52915322.5631573,7.24165351062435,6156.9498804641,7011473.26271141,55237.2474010927,7026389.25944355,54668.7207085432,3455847580.91532,1066.81457514417,2024.71666165224,2565033789.24386,1538831828.10551,0,52907237.3174656,3461838154.17343,4818018.82520513,11330823541.2807,1504980.54984318,1544588265.16204
"stress-ng --cpu 1 --cpu-method sieve --timeout 10s",7.49,1039121474.20601,687168493.343196,990911324.317478,10327.8355707943,29.37179697607,0,27.4777951486405,1034620357.37019,50.6126773971364,684191921.125809,6.64792319545221,6645.78676708884,729101097.024818,389786.665467987,728049400.172245,387119.386125003,3466018121.15805,1075.37884567855,1874.13008411186,2572664493.02951,9437150124.39327,0,686733350.370108,3465280750.31889,152875814.650511,3217210215.43871,46546558.7529876,9467005693.66918
"stress-ng --cpu 1 --cpu-method stats --timeout 10s",8.09,1442539763.20918,1102458620.4867,1271686836.09119,12449.2182974847,130.153126676593,0,8.82365084845545,1571490737.97125,51.3469960965947,1201007079.37572,7.33417221569022,6548.35276073833,1051307380.0774,1186796.12788901,1055567504.51015,1191318.27766692,3458956486.34828,1152.0229958964,2104.63884979018,2567395052.23478,8421504467.2458,0,1202879502.87746,3464840146.06795,169240453.099453,1709201748.53759,2550183269.34204,8443927991.79765
"stress-ng --cpu 1 --cpu-method sqrt --timeout 10s",7.09,394272459.925833,394243347.203173,493027123.739033,10868.8280674097,127.891526023826,0,38.8033791472045,394431638.839856,51.1957390010564,394402704.904948,7.12821096126614,876.62825940352,593255719.876862,8145.38404899695,592064934.428045,8863.14607711244,3461168243.34467,1120.54257701934,1954.33771277837,2568996520.16656,3747109000.83241,68861068.0875247,394514891.835185,3455270913.36355,1906607.23545935,8998297543.29473,100562471.297921,3766113206.31597
"stress-ng --cpu 1 --cpu-method trig --timeout 10s",7.04,430120234.263979,171152096.273477,444346974.092612,11960.7455544962,166.928756460296,1.29127718357435,6.54046304581217,430007476.396487,59.3722704826308,171107416.735882,7.64378731410929,12525.9486303143,184048084.059674,120910.269170209,183584340.920962,206354.777579132,3462675897.30626,1015.01719850556,1890.09810677236,2570111424.09399,1633732671.17539,12658089.3330605,170583500.844501,3453604692.47443,1131882060.33845,4642963884.76421,4467410447.60044,2617931940.97789
"stress-ng --cpu 1 --cpu-method union --timeout 10s",6.93,384767043.712301,240540915.617471,289620813.426791,13377.3720464469,25.8015141289283,0.0993442005263959,44.4916333378828,384628457.583513,51.3396112463517,240454508.988284,7.04969830837962,4526.05506928808,24286475.5654216,26633.1215423057,24318077.81322,26629.9449396639,3456870627.79997,1106.08362729027,2061.74634105183,2565909925.83656,3032410183.24578,0,240897050.738072,3465467021.59471,2592311.91523675,9831065615.42843,14460173.1305198,3031374482.55832
"stress-ng --cpu 1 --cpu-method zeta --timeout 10s",7.41,1161745081.6694,434420012.333488,857739267.120061,12784.6228590728,107.271809321654,0,15.2852049388426,1161657084.7284,49.5284840078513,434387416.210303,7.04634326175116,20048.2081992088,964075673.032682,13528.7559910701,963443713.514239,13849.7885353508,3466800294.51827,1082.52245001503,1880.64204054736,2573236838.76547,5311286177.12541,13332943.3012596,434995055.180128,3459226390.41826,3671445.36911289,6835507613.45581,464918915.053412,5565548629.77883
