"\","watt-median","L1-dcache-loads:u","L1-dcache-stores:u","L1-icache-loads:u","L1-icache-load-misses:u","LLC-loads:u","LLC-load-misses:u","LLC-stores:u","dTLB-loads:u","dTLB-load-misses:u","dTLB-stores:u","dTLB-store-misses:u","iTLB-load-misses:u","branch-loads:u","branch-load-misses:u","branch-instructions:u","branch-misses:u","bus-cycles:u","cache-misses:u","cache-references:u","cpu-cycles:u","instructions:u","mem-loads:u","mem-stores:u","ref-cycles:u","topdown-bad-spec:u","topdown-be-bound:u","topdown-fe-bound:u","topdown-retiring:u"
"stress-ng --cpu 1 --cpu-method gamma --timeout 10s",6.74,19560034.325917,99775.5967125473,389408665.379664,10555.5645116253,184.771506800991,0,10.9036105625586,19560899.1890314,53.0579400508132,99715.6326251272,7.73466965467523,4819.82913425707,58667068.3681049,3091.56011838664,58584299.7603574,2909.31133066922,3463918224.37623,1097.59447945162,2032.92112381845,2571086463.41921,586229565.603958,17484400.3234284,99873.854015972,3466945529.98606,615158.043823428,7719737277.94279,3306854073.41279,1858573554.32554
"stress-ng --cpu 1 --cpu-method gcd --timeout 10s",6.97,122084.0952042,110676.36500898,765262196.576202,9572.48054268547,30.7112296762404,0.0993006441029053,51.0240025318937,122023.541636855,49.571329196661,110627.169780968,7.84774941030548,4525.29479869066,228727028.145049,13298652.3925442,229566183.164363,13217050.5681051,3458106155.32504,1058.48971837596,1945.56383275392,2566712176.80802,1939807347.99615,0,111372.005373592,3464842112.89514,2562200060.59217,5577679519.19142,2079259025.76636,2630872397.11537
"stress-ng --cpu 1 --cpu-method gray --timeout 10s",7.02,300677.72580509,183195.083309118,413557961.917357,12175.9213379793,151.642076090696,0.19858762539818,40.1971581929601,300388.170894004,48.1815219705207,182832.289804188,6.85412378027943,6106.7249532203,139000022.130593,19554.4569493809,139251466.790743,19682.4746674202,3462458383.20601,1050.36491138354,1978.1766145481,2569827679.80551,3479590487.41601,0,183857.897036847,3466800100.23561,2197830.79385072,6610358850.10066,2349709.71439394,6271954661.23068
"stress-ng --cpu 1 --cpu-method hamming --timeout 10s",7.24,206436093.374973,206433456.166029,1134985224.81626,10225.9052955133,106.374918730958,0,49.6329030463096,206528398.378869,59.4092080655987,206525758.330996,11.9029631395305,4563.40798585748,465466233.349544,3373.39083471736,465252265.499529,3503.26483686013,3466982357.25349,1047.57113722886,1813.5382428116,2573465787.44722,11567991402.51,0,206669440.976528,3462820799.77516,681577.913542923,1070823658.65865,208609281.00535,11596490327.8341
"stress-ng --cpu 1 --cpu-method hanoi --timeout 10s",7.97,1954353275.77712,1953890539.50116,1152721458.60351,11271.0827287492,115.840157356901,0.0993136324742743,2.36758311909459,1955842852.41975,50.3242947588577,1955379790.22477,7.24516725901087,7234.4499954505,1803053403.6603,120322.493946812,1803018768.23348,120251.079471362,3466509040.72512,1070.93416006122,1890.97398238293,2572984838.71565,8474348271.19737,0,1960876349.10997,3465390085.45983,12030258.5174001,562514697.861836,3239998590.15479,9069815458.43603
"stress-ng --cpu 1 --cpu-method hyperbolic --timeout 10s",6.98,316099684.428403,106324699.344952,597911921.243039,16311.1753696378,144.721796006809,0.0993866247146812,-2.79548490148076,316888037.019797,51.4993136887526,106590243.758395,7.5405930571413,10289.7107482654,216922130.686979,7252.22313748665,216469333.877756,7183.56327657965,3457664314.67406,1126.84267029327,2035.9930305664,2566578671.79175,1430659605.91336,19024647.6782219,106757675.230293,3462013936.15906,462866519.80907,6154307742.59946,3981345970.74814,2240336824.50406
"stress-ng --cpu 1 --cpu-method idct --timeout 10s",7.1,927453954.49089,313340137.985407,561726172.087286,10347.9968545713,62.4900940453177,0,46.9900434951598,920062599.806376,48.0259074386449,310843044.851731,6.84581455511079,4857.90705133004,412130235.090043,618451.409928842,412620822.209635,625466.553095441,3465664927.80606,1012.76877440278,1899.0823850351,2572378568.10514,3515453526.72197,0,313525275.593785,3464733386.55993,128628408.871728,8563280960.69452,473541621.489508,3724554861.08726
"stress-ng --cpu 1 --cpu-method int128 --timeout 10s",7.07,85444496.4713446,85424527.00826,574348912.982444,12169.8250221141,257.375490718474,1.09340156261149,2.67175270637214,84908523.0516387,47.2961994620783,84888710.5482284,7.03911473132893,4514.35970953422,21436213.5931635,23981.5774716904,21590102.6407349,23926.7098895904,3465080777.70235,1072.28753254713,1935.8283148135,2571983716.31055,4797988624.97483,0,85325656.7971869,3465798543.87295,2430993.78489445,1240888510.46436,4636538377.50901,7013907429.89791
"stress-ng --cpu 1 --cpu-method int64 --timeout 10s",7,1224718.05853975,1225716.68426178,566418455.534942,13302.0724291314,146.594034767294,0,33.7455284426447,1222898.70710912,48.4948064953261,1223933.82832219,7.23877752152761,4529.03911916515,71287901.3914683,73377.8879635228,71081748.1043174,73059.4017970005,3464164046.98315,1142.44070702777,2082.69074702778,2571207710.12281,5986897170.9345,0,1223800.059573,3453677799.18684,6730516.23211496,6416947230.91251,144908878.507327,6288350449.91285
"stress-ng --cpu 1 --cpu-method int32 --timeout 10s",7.02,1199568.51998387,1122040.16966199,651094777.582334,12310.9715783591,187.145380413514,0,7.63949903429059,1199294.28720822,52.3369493624999,1121832.27586701,6.73861279456486,1684.53229345799,79389629.9593177,80922.659171029,79536420.0606322,81375.8149246793,3464689146.15814,1097.99850980572,1947.50940894403,2571613610.31402,6479857538.99019,0,1124504.06910069,3465885623.06224,7343853.87366223,6330083035.34555,56795779.7603386,6488761498.44054
"stress-ng --cpu 1 --cpu-method int16 --timeout 10s",7,904753.212938694,825077.998541569,567633986.523298,11909.496418246,99.137629727016,0.397219014965875,45.167319349104,904899.067116212,53.0771718175449,825168.294088209,7.65304094145086,5931.97838877706,81662023.2591204,83629.7614801959,84049278.1536276,85939.465802937,3462318040.37238,1006.87249008517,2019.94967895461,2569845049.44171,5864169837.73051,0,851991.551562224,3462939573.885,7058116.49354166,7108043270.99867,85352458.3519395,5662753166.58806
